idx,project,filename,window_start,window_end,label,logits
220732,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,25.0,30.0,orca_call,2.7622304
220738,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,55.0,60.0,orca_call,0.51861537
220739,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,60.0,65.0,orca_call,0.35018015
220741,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,70.0,75.0,orca_call,0.4901867
220742,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,75.0,80.0,orca_call,1.5850931
220745,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,90.0,95.0,orca_call,0.5923248
220747,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,100.0,105.0,orca_call,2.1160834
220749,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,110.0,115.0,orca_call,2.2842233
220751,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,120.0,125.0,orca_call,0.26796502
220752,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,125.0,130.0,orca_call,0.40258187
220753,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,130.0,135.0,orca_call,0.41447884
220765,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,190.0,195.0,orca_call,1.4393165
220777,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,250.0,255.0,orca_call,0.9118948
220783,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,280.0,285.0,orca_call,4.220082
220788,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,305.0,310.0,orca_call,1.7485038
220791,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,320.0,325.0,orca_call,2.0535495
220792,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,325.0,330.0,orca_call,2.5465643
229868,MARS_20160101_20160131_32kHz,MARS_20160106_000435_resampled_32kHz.wav,90.0,95.0,orca_call,0.226638
229870,MARS_20160101_20160131_32kHz,MARS_20160106_000435_resampled_32kHz.wav,100.0,105.0,orca_call,1.8193846
235405,MARS_20160101_20160131_32kHz,MARS_20160112_003820_resampled_32kHz.wav,505.0,510.0,orca_call,0.59833616
235948,MARS_20160101_20160131_32kHz,MARS_20160114_083820_resampled_32kHz.wav,220.0,225.0,orca_call,0.5195475
238504,MARS_20160101_20160131_32kHz,MARS_20160112_005820_resampled_32kHz.wav,400.0,405.0,orca_call,0.012717366
238506,MARS_20160101_20160131_32kHz,MARS_20160112_005820_resampled_32kHz.wav,410.0,415.0,orca_call,1.4492378
238524,MARS_20160101_20160131_32kHz,MARS_20160112_005820_resampled_32kHz.wav,500.0,505.0,orca_call,1.5916786
241104,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,20.0,25.0,orca_call,2.1997886
241105,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,25.0,30.0,orca_call,0.030865654
241109,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,45.0,50.0,orca_call,0.61808723
241113,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,65.0,70.0,orca_call,0.8669752
241114,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,70.0,75.0,orca_call,0.6590656
241117,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,85.0,90.0,orca_call,0.5038252
241120,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,100.0,105.0,orca_call,0.3397789
241123,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,115.0,120.0,orca_call,1.4270918
241131,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,155.0,160.0,orca_call,0.28671867
241132,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,160.0,165.0,orca_call,0.3849393
241137,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,185.0,190.0,orca_call,0.7313959
241152,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,260.0,265.0,orca_call,3.0338967
241155,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,275.0,280.0,orca_call,1.1232378
241156,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,280.0,285.0,orca_call,2.5836437
241167,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,335.0,340.0,orca_call,0.8391039
241180,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,400.0,405.0,orca_call,1.2682157
241192,MARS_20160101_20160131_32kHz,MARS_20160112_001820_resampled_32kHz.wav,460.0,465.0,orca_call,0.05448827
241365,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,125.0,130.0,orca_call,3.5695646
241366,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,130.0,135.0,orca_call,1.2579627
241373,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,165.0,170.0,orca_call,0.1755595
241374,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,170.0,175.0,orca_call,2.7175
241376,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,180.0,185.0,orca_call,2.335832
241378,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,190.0,195.0,orca_call,1.9253588
241381,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,205.0,210.0,orca_call,0.14284359
241382,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,210.0,215.0,orca_call,0.103672504
241385,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,225.0,230.0,orca_call,1.0891063
241390,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,250.0,255.0,orca_call,1.1091707
241394,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,270.0,275.0,orca_call,1.5540811
241396,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,280.0,285.0,orca_call,1.7626567
241411,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,355.0,360.0,orca_call,2.358438
241412,MARS_20160101_20160131_32kHz,MARS_20160112_043820_resampled_32kHz.wav,360.0,365.0,orca_call,2.6913922
242441,MARS_20160101_20160131_32kHz,MARS_20160116_112820_resampled_32kHz.wav,555.0,560.0,orca_call,1.4700378
243634,MARS_20160101_20160131_32kHz,MARS_20160116_142820_resampled_32kHz.wav,520.0,525.0,orca_call,0.18442272
255572,MARS_20160101_20160131_32kHz,MARS_20160111_210820_resampled_32kHz.wav,210.0,215.0,orca_call,0.5410964
255574,MARS_20160101_20160131_32kHz,MARS_20160111_210820_resampled_32kHz.wav,220.0,225.0,orca_call,1.4034549
255577,MARS_20160101_20160131_32kHz,MARS_20160111_210820_resampled_32kHz.wav,235.0,240.0,orca_call,0.7814589
255585,MARS_20160101_20160131_32kHz,MARS_20160111_210820_resampled_32kHz.wav,275.0,280.0,orca_call,0.8036937
282645,MARS_20160101_20160131_32kHz,MARS_20160112_095820_resampled_32kHz.wav,30.0,35.0,orca_call,0.7085315
296798,MARS_20160101_20160131_32kHz,MARS_20160111_235820_resampled_32kHz.wav,150.0,155.0,orca_call,0.62929785
296853,MARS_20160101_20160131_32kHz,MARS_20160111_235820_resampled_32kHz.wav,425.0,430.0,orca_call,1.0726771
296860,MARS_20160101_20160131_32kHz,MARS_20160111_235820_resampled_32kHz.wav,460.0,465.0,orca_call,1.647719
297465,MARS_20160101_20160131_32kHz,MARS_20160109_025820_resampled_32kHz.wav,485.0,490.0,orca_call,0.3434937
297468,MARS_20160101_20160131_32kHz,MARS_20160109_025820_resampled_32kHz.wav,500.0,505.0,orca_call,1.1377963
297470,MARS_20160101_20160131_32kHz,MARS_20160109_025820_resampled_32kHz.wav,510.0,515.0,orca_call,0.7724633
297477,MARS_20160101_20160131_32kHz,MARS_20160109_025820_resampled_32kHz.wav,545.0,550.0,orca_call,1.4102952
297484,MARS_20160101_20160131_32kHz,MARS_20160109_025820_resampled_32kHz.wav,580.0,585.0,orca_call,0.458305
297485,MARS_20160101_20160131_32kHz,MARS_20160109_025820_resampled_32kHz.wav,585.0,590.0,orca_call,0.67399305
302867,MARS_20160101_20160131_32kHz,MARS_20160112_120820_resampled_32kHz.wav,70.0,75.0,orca_call,0.0077779144
302872,MARS_20160101_20160131_32kHz,MARS_20160112_120820_resampled_32kHz.wav,95.0,100.0,orca_call,0.64347434
302893,MARS_20160101_20160131_32kHz,MARS_20160112_120820_resampled_32kHz.wav,200.0,205.0,orca_call,0.17792965
302906,MARS_20160101_20160131_32kHz,MARS_20160112_120820_resampled_32kHz.wav,265.0,270.0,orca_call,0.43618298
302914,MARS_20160101_20160131_32kHz,MARS_20160112_120820_resampled_32kHz.wav,305.0,310.0,orca_call,0.7734351
302951,MARS_20160101_20160131_32kHz,MARS_20160112_120820_resampled_32kHz.wav,490.0,495.0,orca_call,0.2549069
302953,MARS_20160101_20160131_32kHz,MARS_20160112_120820_resampled_32kHz.wav,500.0,505.0,orca_call,1.1670786
302971,MARS_20160101_20160131_32kHz,MARS_20160112_120820_resampled_32kHz.wav,590.0,595.0,orca_call,1.0000359
307498,MARS_20160101_20160131_32kHz,MARS_20160116_113820_resampled_32kHz.wav,425.0,430.0,orca_call,0.08955
307820,MARS_20160101_20160131_32kHz,MARS_20160112_051820_resampled_32kHz.wav,235.0,240.0,orca_call,1.3087692
307821,MARS_20160101_20160131_32kHz,MARS_20160112_051820_resampled_32kHz.wav,240.0,245.0,orca_call,3.6920154
326207,MARS_20160101_20160131_32kHz,MARS_20160112_002820_resampled_32kHz.wav,280.0,285.0,orca_call,0.15231593
326211,MARS_20160101_20160131_32kHz,MARS_20160112_002820_resampled_32kHz.wav,300.0,305.0,orca_call,0.19071628
326212,MARS_20160101_20160131_32kHz,MARS_20160112_002820_resampled_32kHz.wav,305.0,310.0,orca_call,1.2887282
326238,MARS_20160101_20160131_32kHz,MARS_20160112_002820_resampled_32kHz.wav,435.0,440.0,orca_call,0.5385911
328395,MARS_20160101_20160131_32kHz,MARS_20160116_125820_resampled_32kHz.wav,420.0,425.0,orca_call,0.5823951
332901,MARS_20160101_20160131_32kHz,MARS_20160118_162820_resampled_32kHz.wav,190.0,195.0,orca_call,0.09588842
335987,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,20.0,25.0,orca_call,1.900182
335988,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,25.0,30.0,orca_call,0.8043694
335990,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,35.0,40.0,orca_call,0.13570301
335993,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,50.0,55.0,orca_call,1.1107308
335997,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,70.0,75.0,orca_call,0.89973414
335998,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,75.0,80.0,orca_call,0.23335902
336017,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,170.0,175.0,orca_call,0.4645663
336029,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,230.0,235.0,orca_call,0.08870517
336055,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,360.0,365.0,orca_call,0.2559442
336060,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,385.0,390.0,orca_call,1.3794285
336069,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,430.0,435.0,orca_call,0.13305803
336072,MARS_20160101_20160131_32kHz,MARS_20160112_125820_resampled_32kHz.wav,445.0,450.0,orca_call,1.6201662
